rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
1566,Sartell Senior High School,"Sartell Senior High School is ranked 25th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Sartell Senior High School is 45%. The total minority enrollment is 13%, and 21% of students are economically disadvantaged. Sartell Senior High School is the only high school in the Sartell-St. Stephen School District.",Sartell,MN,96.36,38.183,1349,54.0,20.0,65.0,64.34023513
1567,Whitefish High School,Whitefish High School is ranked second within Montana. Students have the opportunity to take Advanced Placement&#174,Whitefish,MT,90.0,31.679,581,42.0,14.0,62.0,48.93543956
1568,Melrose High School,Melrose High School is ranked 60th within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Melrose,MA,97.1,52.396,921,61.0,13.0,78.0,59.33618012
1569,Gregorio Luperon High School for Science and Mathemat,"Gregorio Luperon High School for Science and Mathemat is ranked 150th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Gregorio Luperon High School for Science and Mathemat is 61%. The total minority enrollment is 100%, and 88% of students are economically disadvantaged. Gregorio Luperon High School for Science and Mathemat is 1 of 533 high schools in the New York City Public Schools.",New York,NY,95.0,55.839,568,25.0,12.0,79.0,
1570,Bayport-Blue Point High School,"Bayport-Blue Point High School is ranked 151st within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Bayport-Blue Point High School is 66%. The total minority enrollment is 12%, and 17% of students are economically disadvantaged. Bayport-Blue Point High School is the only high school in the Bayport-Blue Point Union Free School District.",Bayport,NY,99.0,57.258,659,81.0,10.0,92.0,70.60909619
1571,Ashland High School,Ashland High School is ranked 61st within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Ashland,MA,97.8,47.545,840,78.0,14.0,78.0,85.26288147
1572,Dreher High School,"Dreher High School is ranked 14th within South Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Dreher High School is 48%. The total minority enrollment is 60%, and 100% of students are economically disadvantaged. Dreher High School is 1 of 9 high schools in the Richland 01.",Columbia,SC,90.18987342,37.638,1150,46.0,15.0,66.0,56.49114064
1573,Bolton High School,"Bolton High School is ranked 32nd within Connecticut. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Bolton High School is 40%. The total minority enrollment is 18%, and 20% of students are economically disadvantaged. Bolton High School is the only high school in the Bolton School District.",Bolton,CT,95.8,38.06,233,,8.0,,71.45224172
1574,La Serna High School,"La Serna High School is ranked 219th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at La Serna High School is 44%. The total minority enrollment is 89%, and 57% of students are economically disadvantaged. La Serna High School is 1 of 7 high schools in the Whittier Union High.",Whittier,CA,97.0,36.548,2410,42.0,26.0,74.0,46.32991704
1575,Hillgrove High School,"Hillgrove High School is ranked 44th within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Hillgrove High School is 41%. The total minority enrollment is 59%, and 24% of students are economically disadvantaged. Hillgrove High School is 1 of 18 high schools in the Cobb County School District.",Powder Springs,GA,95.67,31.496,2363,64.0,19.0,66.0,47.7327206
1576,Le Roy Junior-Senior High School,"Le Roy Junior-Senior High School is ranked 152nd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Le Roy Junior-Senior High School is 58%. The total minority enrollment is 9%, and 39% of students are economically disadvantaged. Le Roy Junior-Senior High School is the only high school in the Le Roy Central School District.",Le Roy,NY,95.0,42.442,357,88.0,11.0,93.0,46.54945055
1577,Santiago High School,"Santiago High School is ranked 220th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Santiago High School is 53%. The total minority enrollment is 65%, and 61% of students are economically disadvantaged. Santiago High School is 1 of 11 high schools in the Corona-Norco Unified School District.",Corona,CA,98.9,40.372,3460,41.0,26.0,78.0,55.04671384
1578,East Ridge High School,"East Ridge High School is ranked 26th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at East Ridge High School is 52%. The total minority enrollment is 37%, and 15% of students are economically disadvantaged. East Ridge High School is 1 of 6 high schools in the South Washington County School District.",Woodbury,MN,94.68,43.435,2021,49.0,43.0,67.0,63.18934635
1579,Achievement First Crown Heights Charter School,Achievement First Crown Heights Charter School is ranked 153rd within New York. Students have the opportunity to take Advanced Placement&#174,Brooklyn,NY,96.0,60.68,570,42.0,13.0,73.0,15.02659574
1580,Abington Heights High School,"Abington Heights High School is ranked 57th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Abington Heights High School is 46%. The total minority enrollment is 15%, and 1% of students are economically disadvantaged. Abington Heights High School is the only high school in the Abington Heights School District.",Clarks Summit,PA,86.90476,40.827,1127,91.0,17.0,,64.66960139
1581,Hidden Valley High School,"Hidden Valley High School is ranked 36th within Virginia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Hidden Valley High School is 39%. The total minority enrollment is 25%, and 24% of students are economically disadvantaged. Hidden Valley High School is 1 of 5 high schools in the Roanoke County Public Schools.",Roanoke,VA,95.07,30.811,830,97.0,14.0,96.0,58.96311909
1582,Port Chester Senior High School,"Port Chester Senior High School is ranked 154th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Port Chester Senior High School is 56%. The total minority enrollment is 90%, and 73% of students are economically disadvantaged. Port Chester Senior High School is the only high school in the Port Chester-Rye Union Free School District.",Port Chester,NY,89.0,46.916,1540,62.0,14.0,76.0,28.99496111
1583,Balboa High School,"Balboa High School is ranked 221st within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Balboa High School is 53%. The total minority enrollment is 96%, and 61% of students are economically disadvantaged. Balboa High School is 1 of 17 high schools in the San Francisco Unified School District.",San Francisco,CA,96.2,42.045,1278,47.0,22.0,68.0,42.80969191
1584,McKeel Academy of Technology,"McKeel Academy of Technology is ranked 105th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at McKeel Academy of Technology is 43%. The total minority enrollment is 34%, and 35% of students are economically disadvantaged. McKeel Academy of Technology is 1 of 45 high schools in the Polk County Public Schools.",Lakeland,FL,99.55157,36.652,1105,70.0,22.0,75.0,62.2528699
1585,Grayling High School,"Grayling High School is ranked 50th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Grayling High School is 42%. The total minority enrollment is 8%, and 50% of students are economically disadvantaged. Grayling High School is 1 of 2 high schools in the Crawford Ausable Schools.",Grayling,MI,92.45,33.929,452,48.0,19.0,65.0,59.52821462
1586,Kinnelon High School,"Kinnelon High School is ranked 76th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Kinnelon High School is 57%. The total minority enrollment is 20%, and 2% of students are economically disadvantaged. Kinnelon High School is the only high school in the Kinnelon School District.",Kinnelon,NJ,98.0,53.671,531,82.0,9.0,73.0,73.61858705
1587,Rosepine High School,"Rosepine High School is ranked 14th within Louisiana. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Rosepine High School is 55%. The total minority enrollment is 15%, and 49% of students are economically disadvantaged. Rosepine High School is 1 of 9 high schools in the Vernon Parish Public Schools.",Rosepine,LA,95.0,33.219,347,58.0,21.0,73.0,28.61950549
1588,Taylor High School,"Taylor High School is ranked 169th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Taylor High School is 45%. The total minority enrollment is 60%, and 42% of students are economically disadvantaged. Taylor High School is 1 of 8 high schools in the Katy Independent School District.",Katy,TX,93.4,41.027,3085,57.0,16.0,72.0,76.70757021
1589,La Cueva High School,"La Cueva High School is ranked ninth within New Mexico. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at La Cueva High School is 50%. The total minority enrollment is 60%, and 12% of students are economically disadvantaged. La Cueva High School is 1 of 42 high schools in the Albuquerque Public Schools.",Albuquerque,NM,82.93763,39.144,1816,51.0,19.0,70.0,64.67724714
1590,Stone Bridge High School,"Stone Bridge High School is ranked 37th within Virginia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Stone Bridge High School is 66%. The total minority enrollment is 46%, and 16% of students are economically disadvantaged. Stone Bridge High School is 1 of 17 high schools in the Loudoun County Public Schools.",Ashburn,VA,96.71,52.81,1701,80.0,13.0,96.0,66.20614555
1591,Kirtland High School,"Kirtland High School is ranked 55th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Kirtland High School is 60%. The total minority enrollment is 6%, and 6% of students are economically disadvantaged. Kirtland High School is the only high school in the Kirtland Local.",Kirtland,OH,95.0,48.198,369,67.0,19.0,85.0,51.48765176
1592,John A. Ferguson Senior High School,"John A. Ferguson Senior High School is ranked 106th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at John A. Ferguson Senior High School is 54%. The total minority enrollment is 97%, and 49% of students are economically disadvantaged. John A. Ferguson Senior High School is 1 of 138 high schools in the Miami-Dade County Public Schools.",Miami,FL,99.35966,43.022,4368,51.0,27.0,67.0,36.2057402
1593,Beachwood High School,"Beachwood High School is ranked 56th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Beachwood High School is 45%. The total minority enrollment is 46%, and 10% of students are economically disadvantaged. Beachwood High School is the only high school in the Beachwood City.",Beachwood,OH,95.0,36.751,587,72.0,15.0,82.0,72.00508614
1594,Advanced Learning Academy,"Advanced Learning Academy is ranked 170th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Advanced Learning Academy is 100%. The total minority enrollment is 83%, and 51% of students are economically disadvantaged. Advanced Learning Academy is 1 of 18 high schools in the San Antonio Independent School District.",San Antonio,TX,100.0,55.0,281,42.0,15.0,61.0,
1595,Del Oro High School,"Del Oro High School is ranked 222nd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Del Oro High School is 42%. The total minority enrollment is 25%, and 12% of students are economically disadvantaged. Del Oro High School is 1 of 6 high schools in the Placer Union High.",Loomis,CA,98.4,31.606,1620,64.0,23.0,86.0,
1596,Upper Merion High School,"Upper Merion High School is ranked 58th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Upper Merion High School is 39%. The total minority enrollment is 51%, and 38% of students are economically disadvantaged. Upper Merion High School is the only high school in the Upper Merion Area School District.",King Of Prussia,PA,95.94595,29.895,1345,96.0,14.0,80.0,60.57591581
1597,James W. Mitchell High School,"James W. Mitchell High School is ranked 107th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at James W. Mitchell High School is 62%. The total minority enrollment is 29%, and 32% of students are economically disadvantaged. James W. Mitchell High School is 1 of 25 high schools in the Pasco County School District.",Trinity,FL,94.82759,48.964,2155,62.0,22.0,62.0,49.49912515
1598,Abraham Lincoln High School,"Abraham Lincoln High School is ranked 223rd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Abraham Lincoln High School is 68%. The total minority enrollment is 91%, and 49% of students are economically disadvantaged. Abraham Lincoln High School is 1 of 17 high schools in the San Francisco Unified School District.",San Francisco,CA,94.4,56.804,1997,39.0,23.0,56.0,57.09344595
1599,Grosse Pointe North High School,"Grosse Pointe North High School is ranked 51st within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Grosse Pointe North High School is 57%. The total minority enrollment is 38%, and 31% of students are economically disadvantaged. Grosse Pointe North High School is 1 of 2 high schools in the Grosse Pointe Public Schools.",Grosse Pointe Woods,MI,94.97,43.272,1070,42.0,16.0,70.0,56.93990814
1600,Orchard Park High School,"Orchard Park High School is ranked 155th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Orchard Park High School is 48%. The total minority enrollment is 8%, and 16% of students are economically disadvantaged. Orchard Park High School is the only high school in the Orchard Park Central School District.",Orchard Park,NY,96.0,38.406,1380,91.0,12.0,97.0,70.86219453
1601,Massapequa High School,"Massapequa High School is ranked 156th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Massapequa High School is 53%. The total minority enrollment is 11%, and 10% of students are economically disadvantaged. Massapequa High School is the only high school in the Massapequa Union Free School District.",Massapequa,NY,99.0,47.309,1441,82.0,10.0,97.0,65.01886241
1602,Alliance Dr. Olga Mohan High School,"Alliance Dr. Olga Mohan High School is ranked 224th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Alliance Dr. Olga Mohan High School is 47%. The total minority enrollment is 100%, and 96% of students are economically disadvantaged. Alliance Dr. Olga Mohan High School is the only high school in the Alliance Dr. Olga Mohan High District.",Los Angeles,CA,99.2,36.345,466,31.0,18.0,69.0,25.12903226
1603,Century Senior High School,"Century Senior High School is ranked 27th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Century Senior High School is 40%. The total minority enrollment is 41%, and 31% of students are economically disadvantaged. Century Senior High School is 1 of 14 high schools in the Rochester Public School District.",Rochester,MN,90.17,30.337,1698,55.0,44.0,74.0,62.56410423
1604,Thomas High School,"Thomas High School is ranked 157th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Thomas High School is 63%. The total minority enrollment is 16%, and 26% of students are economically disadvantaged. Thomas High School is 1 of 2 high schools in the Webster Central School District.",Webster,NY,97.0,53.236,1248,82.0,12.0,91.0,69.84613895
1605,Jackson High School,"Jackson High School is ranked 57th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Jackson High School is 48%. The total minority enrollment is 15%, and 15% of students are economically disadvantaged. Jackson High School is the only high school in the Jackson Local.",Massillon,OH,95.0,38.252,2024,63.0,23.0,85.0,58.47376004
1606,Holliston High School,Holliston High School is ranked 62nd within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Holliston,MA,96.7,51.256,806,79.0,13.0,71.0,58.71499468
1607,McKinney Boyd High School,"McKinney Boyd High School is ranked 171st within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at McKinney Boyd High School is 66%. The total minority enrollment is 45%, and 21% of students are economically disadvantaged. McKinney Boyd High School is 1 of 5 high schools in the Mckinney Independent School District.",Mckinney,TX,97.3,49.851,2651,42.0,17.0,73.0,53.49626623
1608,Cedar Park High School,"Cedar Park High School is ranked 172nd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Cedar Park High School is 56%. The total minority enrollment is 38%, and 12% of students are economically disadvantaged. Cedar Park High School is 1 of 8 high schools in the Leander Independent School District.",Cedar Park,TX,96.8,45.662,1952,55.0,15.0,79.0,61.74132332
1609,Valley International Preparatory High School,"Valley International Preparatory High School is ranked 225th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Valley International Preparatory High School is 76%. The total minority enrollment is 43%, and 27% of students are economically disadvantaged. Valley International Preparatory High School is the only high school in the Valley International Preparatory High District.",Northridge,CA,95.7,55.986,275,37.0,17.0,85.0,54.58096591
1610,George W Hewlett High School,"George W Hewlett High School is ranked 158th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at George W Hewlett High School is 53%. The total minority enrollment is 39%, and 26% of students are economically disadvantaged. George W Hewlett High School is the only high school in the Hewlett-Woodmere Union Free School District.",Hewlett,NY,97.0,46.356,990,73.0,10.0,93.0,52.92497584
1611,Lancaster High School,"Lancaster High School is ranked 159th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Lancaster High School is 48%. The total minority enrollment is 10%, and 24% of students are economically disadvantaged. Lancaster High School is the only high school in the Lancaster Central School District.",Lancaster,NY,98.0,40.176,1628,81.0,12.0,99.0,70.95287074
1612,Williamsville South High School,"Williamsville South High School is ranked 160th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Williamsville South High School is 67%. The total minority enrollment is 23%, and 27% of students are economically disadvantaged. Williamsville South High School is 1 of 3 high schools in the Williamsville Central School District.",Williamsville,NY,94.0,54.207,855,88.0,12.0,89.0,66.35938741
1613,Cox Mill High School,"Cox Mill High School is ranked 50th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Cox Mill High School is 46%. The total minority enrollment is 56%, and 14% of students are economically disadvantaged. Cox Mill High School is 1 of 13 high schools in the Cabarrus County Schools.",Concord,NC,95.0,38.609,1762,68.0,22.0,83.0,60.8766284
1614,Rosemead High School,"Rosemead High School is ranked 226th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Rosemead High School is 42%. The total minority enrollment is 99%, and 81% of students are economically disadvantaged. Rosemead High School is 1 of 7 high schools in the El Monte Union High.",Rosemead,CA,89.8,35.605,1679,46.0,21.0,75.0,39.21349927
1615,Strawberry Crest High School,"Strawberry Crest High School is ranked 108th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Strawberry Crest High School is 59%. The total minority enrollment is 65%, and 44% of students are economically disadvantaged. Strawberry Crest High School is 1 of 66 high schools in the Hillsborough County Public Schools.",Dover,FL,97.46094,50.544,2558,50.0,24.0,53.0,51.90761883
1616,Saugus High School,"Saugus High School is ranked 227th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Saugus High School is 51%. The total minority enrollment is 56%, and 14% of students are economically disadvantaged. Saugus High School is 1 of 10 high schools in the William S. Hart Union High.",Saugus,CA,99.2,42.829,2378,44.0,25.0,80.0,62.39196926
1617,The Grove School,"The Grove School is ranked 228th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at The Grove School is 65%. The total minority enrollment is 50%, and 22% of students are economically disadvantaged. The Grove School is the only high school in the Grove District.",Redlands,CA,90.0,51.875,159,42.0,13.0,78.0,
1618,Moanalua High School,"Moanalua High School is ranked third within Hawaii. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Moanalua High School is 42%. The total minority enrollment is 91%, and 24% of students are economically disadvantaged. Moanalua High School is 1 of 66 high schools in the Hawaii Department of Education.",Honolulu,HI,94.0,31.968,2049,35.0,17.0,82.0,58.57952052
1619,Veterans Memorial High School,"Veterans Memorial High School is ranked 173rd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Veterans Memorial High School is 61%. The total minority enrollment is 98%, and 65% of students are economically disadvantaged. Veterans Memorial High School is 1 of 8 high schools in the Brownsville Independent School District.",Brownsville,TX,97.8,40.06,2172,70.0,16.0,70.0,20.61795644
1620,Huntley High School,Huntley High School is ranked 63rd within Illinois. Students have the opportunity to take Advanced Placement&#174,Huntley,IL,96.4,32.008,2926,53.0,16.0,47.0,69.61053062
1621,Animo Leadership High School,"Animo Leadership High School is ranked 229th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Animo Leadership High School is 69%. The total minority enrollment is 99%, and 93% of students are economically disadvantaged. Animo Leadership High School is the only high school in the Animo Leadership High District.",Inglewood,CA,98.1,45.513,655,19.0,24.0,61.0,9.305903807
1622,Memorial High School,"Memorial High School is ranked 174th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Memorial High School is 55%. The total minority enrollment is 60%, and 18% of students are economically disadvantaged. Memorial High School is 1 of 10 high schools in the Frisco Independent School District.",Frisco,TX,98.1,44.61,1565,45.0,13.0,78.0,56.71191473
1623,Pullman High School,"Pullman High School is ranked 29th within Washington. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pullman High School is 42%. The total minority enrollment is 34%, and 31% of students are economically disadvantaged. Pullman High School is the only high school in the Pullman School District.",Pullman,WA,92.55319,39.767,896,45.0,19.0,85.0,63.31300813
1624,KIPP Denver Collegiate High School,"KIPP Denver Collegiate High School is ranked 47th within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at KIPP Denver Collegiate High School is 100%. The total minority enrollment is 99%, and 91% of students are economically disadvantaged. KIPP Denver Collegiate High School is 1 of 53 high schools in the Denver Public Schools.",Denver,CO,92.85714,70.946,477,16.0,11.0,35.0,27.01310328
1625,Math and Science College Preparatory,"Math and Science College Preparatory is ranked 230th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Math and Science College Preparatory is 89%. The total minority enrollment is 86%, and 90% of students are economically disadvantaged. Math and Science College Preparatory is the only high school in the Math and Science College Preparatory District.",Los Angeles,CA,97.4,55.819,539,16.0,18.0,52.0,20.8683683
1626,Roswell High School,"Roswell High School is ranked 45th within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Roswell High School is 57%. The total minority enrollment is 46%, and 23% of students are economically disadvantaged. Roswell High School is 1 of 18 high schools in the Fulton County Schools.",Roswell,GA,93.64,48.477,2119,35.0,17.0,61.0,70.25931503
1627,El Dorado High School,"El Dorado High School is ranked 231st within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at El Dorado High School is 51%. The total minority enrollment is 60%, and 33% of students are economically disadvantaged. El Dorado High School is 1 of 8 high schools in the Placentia-Yorba Linda Unified School District.",Placentia,CA,96.3,44.979,2034,45.0,25.0,72.0,67.91700441
1628,Greeneville High School,Greeneville High School is ranked 18th within Tennessee. Students have the opportunity to take Advanced Placement&#174,Greeneville,TN,98.5,22.5,958,42.0,17.0,57.0,62.76515152
1629,Heritage High School,"Heritage High School is ranked 48th within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Heritage High School is 50%. The total minority enrollment is 21%, and 10% of students are economically disadvantaged. Heritage High School is 1 of 3 high schools in the Littleton School District No. 6 In The County of Arapahoe.",Littleton,CO,92.98246,42.874,1754,58.0,21.0,83.0,57.81157123
1630,Niwot High School,"Niwot High School is ranked 49th within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Niwot High School is 54%. The total minority enrollment is 38%, and 26% of students are economically disadvantaged. Niwot High School is 1 of 12 high schools in the St. Vrain Valley School District No. Re1J.",Niwot,CO,97.77778,44.413,1355,53.0,24.0,78.0,48.89575449
1631,Summit High School,"Summit High School is ranked 15th within Oregon. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Summit High School is 67%. The total minority enrollment is 11%, and 6% of students are economically disadvantaged. Summit High School is 1 of 6 high schools in the Bend-Lapine Administrative School District 1.",Bend,OR,95.81,55.919,1444,41.0,25.0,59.0,60.55347363
1632,Broward Virtual Franchise,"Broward Virtual Franchise is ranked 109th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Broward Virtual Franchise is 37%. The total minority enrollment is 68%, and 3% of students are economically disadvantaged. Broward Virtual Franchise is 1 of 75 high schools in the Broward County Public Schools.",Coconut Creek,FL,100.0,25.709,425,71.0,10.0,90.0,36.41171329
1633,Sayville High School,"Sayville High School is ranked 161st within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Sayville High School is 56%. The total minority enrollment is 14%, and 12% of students are economically disadvantaged. Sayville High School is the only high school in the Sayville Union Free School District.",West Sayville,NY,99.0,46.983,873,82.0,11.0,96.0,50.96153846
1634,Villages Charter School,"Villages Charter School is ranked 110th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Villages Charter School is 65%. The total minority enrollment is 30%, and 36% of students are economically disadvantaged. Villages Charter School is 1 of 6 high schools in the Sumter School District.",The Villages,FL,99.53488,46.729,1076,56.0,16.0,70.0,59.53191411
1635,Salem High School,"Salem High School is ranked 162nd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Salem High School is 45%. The total minority enrollment is 6%, and 55% of students are economically disadvantaged. Salem High School is the only high school in the Salem Central School District.",Salem,NY,86.0,36.364,146,99.0,8.0,73.0,
1636,San Gabriel High School,"San Gabriel High School is ranked 232nd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at San Gabriel High School is 53%. The total minority enrollment is 99%, and 67% of students are economically disadvantaged. San Gabriel High School is 1 of 4 high schools in the Alhambra Unified School District.",San Gabriel,CA,96.4,42.194,1814,45.0,23.0,64.0,59.3789911
1637,Land O' Lakes High School,"Land O' Lakes High School is ranked 111st within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Land O' Lakes High School is 60%. The total minority enrollment is 43%, and 27% of students are economically disadvantaged. Land O' Lakes High School is 1 of 25 high schools in the Pasco County School District.",Land O Lakes,FL,94.10526,50.322,2248,57.0,23.0,63.0,51.13485141
1638,DeSoto High School,"DeSoto High School is ranked seventh within Kansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at DeSoto High School is 31%. The total minority enrollment is 20%, and 20% of students are economically disadvantaged. DeSoto High School is 1 of 3 high schools in the De Soto.",De Soto,KS,96.0,27.16,996,37.0,17.0,39.0,58.42880979
1639,Somerset Academy Charter High School,"Somerset Academy Charter High School is ranked 112nd within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Somerset Academy Charter High School is 68%. The total minority enrollment is 90%, and 39% of students are economically disadvantaged. Somerset Academy Charter High School is 1 of 75 high schools in the Broward County Public Schools.",Pembroke Pines,FL,95.67901,51.012,1476,48.0,26.0,63.0,37.83101514
1640,Punxsutawney Area High School,"Punxsutawney Area High School is ranked 59th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Punxsutawney Area High School is 31%. The total minority enrollment is 5%, and 55% of students are economically disadvantaged. Punxsutawney Area High School is the only high school in the Punxsutawney Area School District.",Punxsutawney,PA,87.40741,21.138,490,82.0,10.0,,53.47886762
1641,Keller High School,"Keller High School is ranked 175th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Keller High School is 51%. The total minority enrollment is 32%, and 8% of students are economically disadvantaged. Keller High School is 1 of 5 high schools in the Keller Independent School District.",Keller,TX,97.9,41.802,3089,58.0,17.0,84.0,64.9196266
1642,Madison Highland Prep,"Madison Highland Prep is ranked 25th within Arizona. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Madison Highland Prep is 60%. The total minority enrollment is 66%, and 36% of students are economically disadvantaged. Madison Highland Prep is the only high school in the Madison Highland Prep.",Phoenix,AZ,,35.215,456,60.0,,55.0,37.12416056
1643,Cherry Hill High School East,"Cherry Hill High School East is ranked 77th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Cherry Hill High School East is 50%. The total minority enrollment is 44%, and 11% of students are economically disadvantaged. Cherry Hill High School East is 1 of 3 high schools in the Cherry Hill School District.",Cherry Hill,NJ,97.0,43.076,2082,46.0,15.0,70.0,71.65369482
1644,Milford High School,"Milford High School is ranked 52nd within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Milford High School is 47%. The total minority enrollment is 10%, and 28% of students are economically disadvantaged. Milford High School is 1 of 4 high schools in the Huron Valley Schools.",Highland,MI,90.73,40.109,1251,45.0,19.0,67.0,68.3693609
